Symbol,Name,Sector
ACN,Accenture,Information Technology
ATVI,Activision Blizzard,Communication Services
ADBE,Adobe Inc.,Information Technology
ADP,ADP,Information Technology
AKAM,Akamai,Information Technology
GOOGL,Alphabet Inc. (Class A),Communication Services
GOOG,Alphabet Inc. (Class C),Communication Services
AMD,AMD,Information Technology
APH,Amphenol,Information Technology
ADI,Analog Devices,Information Technology
ANSS,Ansys,Information Technology
AAPL,Apple Inc.,Information Technology
AMAT,Applied Materials,Information Technology
ANET,Arista Networks,Information Technology
T,AT&T,Communication Services
ADSK,Autodesk,Information Technology
AVGO,Broadcom Inc.,Information Technology
BR,Broadridge Financial Solutions,Information Technology
CDNS,Cadence Design Systems,Information Technology
CDW,CDW,Information Technology
CDAY,Ceridian,Information Technology
CHTR,Charter Communications,Communication Services
CSCO,Cisco,Information Technology
CTSH,Cognizant,Information Technology
CMCSA,Comcast,Communication Services
GLW,Corning Inc.,Information Technology
DISH,Dish Network,Communication Services
DIS,Disney,Communication Services
DXC,DXC Technology,Information Technology
EA,Electronic Arts,Communication Services
ENPH,Enphase,Information Technology
EPAM,EPAM Systems,Information Technology
FFIV,F5 Inc.,Information Technology
FSLR,First Solar,Information Technology
FIS,FIS,Information Technology
FISV,Fiserv,Information Technology
FLT,Fleetcor,Information Technology
FTNT,Fortinet,Information Technology
FOXA,Fox Corporation (Class A),Communication Services
FOX,Fox Corporation (Class B),Communication Services
IT,Gartner,Information Technology
GEN,Gen Digital Inc.,Information Technology
GPN,Global Payments,Information Technology
HPE,Hewlett Packard Enterprise,Information Technology
HPQ,HP Inc.,Information Technology
IBM,IBM,Information Technology
INTC,Intel,Information Technology
INTU,Intuit,Information Technology
JKHY,Jack Henry & Associates,Information Technology
JNPR,Juniper Networks,Information Technology
KEYS,Keysight,Information Technology
KLAC,KLA Corporation,Information Technology
LRCX,Lam Research,Information Technology
LYV,Live Nation Entertainment,Communication Services
LUMN,Lumen Technologies,Communication Services
MA,Mastercard,Information Technology
MTCH,Match Group,Communication Services
META,Meta Platforms,Communication Services
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft,Information Technology
MPWR,Monolithic Power Systems,Information Technology
MSI,Motorola Solutions,Information Technology
NTAP,NetApp,Information Technology
NFLX,Netflix,Communication Services
NWSA,News Corp (Class A),Communication Services
NWS,News Corp (Class B),Communication Services
NVDA,Nvidia,Information Technology
NXPI,NXP Semiconductors,Information Technology
OMC,Omnicom Group,Communication Services
ON,ON Semiconductor,Information Technology
ORCL,Oracle Corporation,Information Technology
PARA,Paramount Global,Communication Services
PAYX,Paychex,Information Technology
PAYC,Paycom,Information Technology
PYPL,PayPal,Information Technology
PTC,PTC,Information Technology
QRVO,Qorvo,Information Technology
QCOM,Qualcomm,Information Technology
ROP,Roper Technologies,Information Technology
CRM,Salesforce,Information Technology
STX,Seagate Technology,Information Technology
NOW,ServiceNow,Information Technology
SWKS,Skyworks Solutions,Information Technology
SEDG,SolarEdge,Information Technology
SNPS,Synopsys,Information Technology
TMUS,T-Mobile US,Communication Services
TTWO,Take-Two Interactive,Communication Services
TEL,TE Connectivity,Information Technology
TDY,Teledyne Technologies,Information Technology
TER,Teradyne,Information Technology
TXN,Texas Instruments,Information Technology
IPG,The Interpublic Group of Companies,Communication Services
TRMB,Trimble Inc.,Information Technology
TYL,Tyler Technologies,Information Technology
VRSN,Verisign,Information Technology
VZ,Verizon,Communication Services
V,Visa Inc.,Information Technology
WBD,Warner Bros. Discovery,Communication Services
WDC,Western Digital,Information Technology
ZBRA,Zebra Technologies,Information Technology
